id,date,keywords
biden_1_0,2023-04-02 00:00:00,federal taxis raise long president
biden_1_1,2023-04-02 00:00:00,north carolina state expand medicaid affordable care act
biden_1_2,2023-04-02 00:00:00,thank inflation reduction act
biden_1_3,2023-04-01 00:00:00,company country expand factory build new create thousand
biden_1_4,2023-04-01 00:00:00,chips science act significant investment manufacturing research development history
biden_1_5,2023-03-31 00:00:00,state north carolina ohio new york arizona semiconductor company invest billi
biden_1_6,2023-03-31 00:00:00,history fail acknowledge massive contribution woman race ethnicity faith
biden_1_7,2023-03-31 00:00:00,transgender day visibility want know god deserve
biden_1_8,2023-03-30 00:00:00,work build america grow economy family breathing room
biden_1_9,2023-03-30 00:00:00,office attract private investment american manufacturing announce ove
biden_1_10,2023-03-30 00:00:00,congress pass assault weapon ban partisan issue common sense
biden_1_11,2023-03-29 00:00:00,nation owe family nashville prayer owe action sto
biden_1_12,2023-03-29 00:00:00,woman lead way woman start half new business united states
biden_1_13,2023-03-29 00:00:00,millions struggle mental health struggle silence injured spirit different injure
biden_1_14,2023-03-29 00:00:00,letter response speaker mccarthy
biden_1_15,2023-03-28 00:00:00,expand network women business center center nationwide
biden_1_16,2023-03-27 00:00:00,congress pass assault weapon ban time progress
biden_1_17,2023-03-26 00:00:00,budget lay stark contrast value decent shot value senior hardworke
biden_1_18,2023-03-25 00:00:00,speak deploy emergency response personnel resource support search rescue
biden_1_19,2023-03-25 00:00:00,jill pray lose love devastating tornado mississippi loved
biden_1_20,2023-03-25 00:00:00,strengthen medicare social security budget extend life medicare trust fund beyo
biden_1_21,2023-03-24 00:00:00,affordable care act expand medicaid cover million people mean cancer detect early
biden_1_22,2023-03-24 00:00:00,sign large investment climate environmental justice conservation investment
biden_1_23,2023-03-24 00:00:00,cap cost insulin month senior medicare big insulin manufacturer
biden_1_24,2023-03-23 00:00:00,history affordable care act law
biden_1_25,2023-03-23 00:00:00,thank american rescue plan republican congress vote million enrol
biden_1_26,2023-03-23 00:00:00,build affordable care act lower health care prescription drug cost maga republic
biden_1_27,2023-03-23 00:00:00,year ago proudly stand sign law consequential expansion
biden_1_28,2023-03-22 00:00:00,restore protection previous administration roll national monument
biden_1_29,2023-03-21 00:00:00,strong year job growth new small business application history optimistic
biden_2_30,2023-03-20 00:00:00,work day bring family breathing room congress pass legislation ensure
biden_2_31,2023-03-20 00:00:00,sign american rescue plan lower price increase coverage affordable health care save million
biden_2_32,2023-03-20 00:00:00,veto bill bill risk retirement saving illegal consider risk factor maga
biden_2_33,2023-03-19 00:00:00,job create office continue progress fight
biden_2_34,2023-03-19 00:00:00,focus people affordable health care family little bit breathe roo
biden_2_35,2023-03-18 00:00:00,house freedom caucus different value set
biden_2_36,2023-03-18 00:00:00,lead insulin producer america agree substantially reduce price follow
biden_2_37,2023-03-17 00:00:00,story irish americans story people weather hard time come spirit
biden_2_38,2023-03-17 00:00:00,mom irish faith family courage happy patricks day
biden_2_39,2023-03-17 00:00:00,determined ban assault weapon high capacity magazine lead fight
biden_2_40,2023-03-16 00:00:00,new measure expand health coverage cap prescription drug cost invest quality child care build
biden_2_41,2023-03-16 00:00:00,build budget require hard decision america family sit kitc
biden_2_42,2023-03-16 00:00:00,executive order help firearm dangerous hand expand public awareness campaign red flag
biden_2_43,2023-03-15 00:00:00,inflation summer gas price
biden_2_44,2023-03-15 00:00:00,new executive order gun violence ramp effort hold gun industry accountable
biden_2_45,2023-03-15 00:00:00,budget build progress grow economy middle plan
biden_2_46,2023-03-15 00:00:00,action regulator american feel confident deposit
biden_2_47,2023-03-14 00:00:00,announce executive order gun violence intensify work save life firearm
biden_2_48,2023-03-14 00:00:00,pleased line novo nordisk lower insulin price follow eli lillys action build important progress year sign law cap insulin senior urge follow
biden_2_49,2023-03-14 00:00:00,report annual inflation summer time unemployment rate remain year low slow annual increase september
biden_2_50,2023-03-14 00:00:00,americans rest assure banking system safe deposit safe accounting happen responsible hold accountable law
biden_2_51,2023-03-14 00:00:00,obama biden administration tough requirement bank silicon valley bank signature bank
biden_2_52,2023-03-13 00:00:00,line americans rest assure banking system safe deposit safe
biden_2_53,2023-03-13 00:00:00,share working age folk labor force high time
biden_2_54,2023-03-12 00:00:00,americans work business grow school open thank american rescue plan come long way
biden_2_55,2023-03-12 00:00:00,bipartisan infrastructure law single large dedicated investment bridge construction eisenhower era interstate highway system
