id,date,text
biden_1_0,2023-04-02 00:00:00,"No one making less than $400,000 will see their federal taxes raised as long as I’m president."
biden_1_1,2023-04-02 00:00:00,North Carolina became the 40th state to expand Medicaid under the Affordable Care Act
biden_1_2,2023-04-02 00:00:00,Thanks to the Inflation Reduction Act
biden_1_3,2023-04-01 00:00:00,"Companies in every part of the country are expanding factories and building new ones, creating tens of thousands of… https://t.co/CvaT3rWQOs"
biden_1_4,2023-04-01 00:00:00,The CHIPS and Science Act is the most significant investment in manufacturing and research and development in our history.
biden_1_5,2023-03-31 00:00:00,"In states like North Carolina, Ohio, New York, and Arizona, semiconductor companies are investing hundreds of billi… https://t.co/XVfJU5nP9v"
biden_1_6,2023-03-31 00:00:00,"Too often, history has failed to acknowledge the massive contributions of women of every race, ethnicity, faith, an… https://t.co/PAWK0fyrQ1"
biden_1_7,2023-03-31 00:00:00,"RT @POTUS: On Transgender Day of Visibility, we want you to know that we see you just as you are:

Made in the image of God and deserving o…"
biden_1_8,2023-03-30 00:00:00,"We're working to build a better America, grow our economy, and give families more breathing room. If we're going to… https://t.co/3x3tBR1KqS"
biden_1_9,2023-03-30 00:00:00,"Since I took office, we’ve attracted $435 billion in private investment in American manufacturing and announced ove… https://t.co/kmJquoTTsg"
biden_1_10,2023-03-30 00:00:00,"I again call on Congress to pass the assault weapons ban. It should not be a partisan issue, it’s a common sense is… https://t.co/ctErmifDfF"
biden_1_11,2023-03-29 00:00:00,"As a nation, we owe the families in Nashville more than our prayers. We owe them action.

We have to do more to sto… https://t.co/yHOXhGTjTn"
biden_1_12,2023-03-29 00:00:00,"Women are leading the way. In 2021, women started almost half of all new businesses in the United States, up from l… https://t.co/iwmwNz9p6M"
biden_1_13,2023-03-29 00:00:00,"RT @POTUS: Millions struggle with mental health, but often they struggle in silence. An injured spirit isn’t any different than an injured…"
biden_1_14,2023-03-29 00:00:00,RT @POTUS: My letter in response to Speaker McCarthy. https://t.co/veNZtqmEkK
biden_1_15,2023-03-28 00:00:00,We’re expanding the network of women’s business centers to 160 centers nationwide
biden_1_16,2023-03-27 00:00:00,"RT @POTUS: I call on Congress again to pass my assault weapons ban.

It's about time we make some more progress. https://t.co/ZE584cUN6R"
biden_1_17,2023-03-26 00:00:00,"Our budget lays out a stark contrast. 

We value everyone having a decent shot. We value seniors and hardworking Am… https://t.co/VN6HBDq5je"
biden_1_18,2023-03-25 00:00:00,"RT @POTUS: I also spoke to @FEMA_Deanne, who has already deployed emergency response personnel and resources to support search-and-rescue a…"
biden_1_19,2023-03-25 00:00:00,RT @POTUS: Jill and I are praying for those who have lost loved ones in the devastating tornadoes in Mississippi and those whose loved ones…
biden_1_20,2023-03-25 00:00:00,"We're strengthening Medicare and Social Security. 

My budget would extend the life of the Medicare Trust Fund beyo… https://t.co/L3ZABf3mGQ"
biden_1_21,2023-03-24 00:00:00,"The Affordable Care Act expanded Medicaid to cover millions more people. That means more cancers detected early, mo… https://t.co/C8b7OfjAIj"
biden_1_22,2023-03-24 00:00:00,"I signed the largest investment in climate, environmental justice, and conservation ever. 

These investments have… https://t.co/KDm1Gy1KXO"
biden_1_23,2023-03-24 00:00:00,"We capped the cost of insulin at $35/month for seniors on Medicare. 

Then, the three biggest insulin manufacturers… https://t.co/MLlL6G6HRt"
biden_1_24,2023-03-23 00:00:00,We made history when the Affordable Care Act became law. https://t.co/Xo9RHBfD3N
biden_1_25,2023-03-23 00:00:00,"Thanks to the American Rescue Plan, which not one Republican in Congress voted for, millions have enrolled in the A… https://t.co/WuO4LEUIS9"
biden_1_26,2023-03-23 00:00:00,We've built on the Affordable Care Act to lower health care and prescription drug costs even more. If MAGA Republic… https://t.co/8e0v8DJwTY
biden_1_27,2023-03-23 00:00:00,"Thirteen years ago, I proudly stood beside @BarackObama as he signed into law the most consequential expansion of h… https://t.co/CpXegBWgFq"
biden_1_28,2023-03-22 00:00:00,"We’ve restored protections the previous administration rolled back for several national monuments. 

We are not jus… https://t.co/cr4dwdAAWy"
biden_1_29,2023-03-21 00:00:00,"After the strongest two years of job growth and new small business applications in history, I am more optimistic th… https://t.co/hriiS9wHBw"
biden_2_30,2023-03-20 00:00:00,We are working every day to bring families more breathing room. Congress should still pass legislation to ensure ev… https://t.co/M0aPhaoOSr
biden_2_31,2023-03-20 00:00:00,"I signed the American Rescue Plan to lower prices and increase coverage for affordable health care, saving millions… https://t.co/1uFqfgSine"
biden_2_32,2023-03-20 00:00:00,"RT @POTUS: I just vetoed my first bill.

This bill would risk your retirement savings by making it illegal to consider risk factors MAGA Ho…"
biden_2_33,2023-03-19 00:00:00,"More than 12 million jobs have been created since I took office.

We will continue to make progress in our fight to… https://t.co/yTboGxQocn"
biden_2_34,2023-03-19 00:00:00,We are focused on getting more people affordable health care and giving families just a little bit of breathing roo… https://t.co/2CXIa6jliW
biden_2_35,2023-03-18 00:00:00,The House Freedom Caucus and I have a very different value set. https://t.co/YriZ5P1RYn
biden_2_36,2023-03-18 00:00:00,"All three of the leading insulin producers in America have agreed to substantially reduce their prices, following m… https://t.co/UoirPGG1OR"
biden_2_37,2023-03-17 00:00:00,"The story of Irish Americans is a story of people who have weathered hard times, but always come through, spirit in… https://t.co/aZvLGAhM86"
biden_2_38,2023-03-17 00:00:00,"My mom always said, ""Being Irish is about faith, family, and courage."" 

Happy St. Patrick’s Day! https://t.co/8jzsOxbODR"
