id,date,keywords
obama_1_0,2023-03-31 00:00:00,leader work protect tran right lgbtqia community wor
obama_1_1,2023-03-31 00:00:00,transgender day visibility michelle want person america
obama_1_2,2023-03-28 00:00:00,grateful responder volunteer work help impact mississippi tornado
obama_1_3,2023-03-27 00:00:00,fail child guns lead cause death child michelle mourn
obama_1_4,2023-03-23 00:00:00,hope story inspire help protect affordable care act americans continue
obama_1_5,2023-03-23 00:00:00,celebrate anniversary affordable care act surprise folk life
obama_1_6,2023-03-23 00:00:00,know story access health care change life big way small
obama_1_7,2023-03-23 00:00:00,aca provide americans access health care expand medicaid stat
obama_1_8,2023-03-23 00:00:00,year ago sign affordable care act law night aca pass incredibly meani
obama_1_9,2023-03-22 00:00:00,work support generation leader tackle issue
obama_1_10,2023-03-22 00:00:00,important note administration historic step close
obama_1_11,2023-03-22 00:00:00,impact climate change push hard paris agreement time office
obama_1_12,2023-03-22 00:00:00,week climate report ipcc urgent reminder limited window deal clima
obama_1_13,2023-03-21 00:00:00,create voyager scholarship support generation leader look
obama_1_14,2023-03-21 00:00:00,look way help community sign volunteer
obama_1_15,2023-03-21 00:00:00,day early voting wisconsin supreme court election close
obama_1_16,2023-03-19 00:00:00,example smart policy rid unnecessary college degree requirement reduce barrier
obama_1_17,2023-03-17 00:00:00,family happy patricks day
obama_1_18,2023-03-15 00:00:00,good time year marchmadness bracket bust soon pick
obama_1_19,2023-03-15 00:00:00,change start ordinary people decide extraordinary thing listen
obama_1_20,2023-03-15 00:00:00,sign law significant gun safety reform nearly decade congress lets pass univ
obama_1_21,2023-03-13 00:00:00,incredibly proud inspire family movement bring fight als incredibly challenging moment drive change
obama_1_22,2023-03-10 00:00:00,woman history month want share story cary sharika
obama_1_23,2023-03-10 00:00:00,fight fair map
obama_1_24,2023-03-08 00:00:00,international women day read amal clooney work help end child marriage proud work issue create world girl
obama_1_25,2023-03-05 00:00:00,judy heumann dedicate life fight civil right
obama_1_26,2023-03-02 00:00:00,fire ready edith childs understand power single voice word light room campaign stop greenwood recently catch edith retire year public service look
obama_1_27,2024-01-01 00:00:00,real change happen person community connection time emerge leader chicago detroit jackson
obama_1_28,2024-01-01 00:00:00,proud work young man community work sure boy young man reach potential
obama_1_29,2024-01-01 00:00:00,excited announce inspire young people africa asia pacific europe join leaders program proud wait
obama_2_30,2024-01-01 00:00:00,blank year serve administration extraordinary life government academia devote career reduce inequality increase opportunity
obama_2_31,2024-01-01 00:00:00,happy valentines day day feel adventure
obama_2_32,2024-01-01 00:00:00,congratulation kansas city patrick mahomes travis kelce andy reid great super bowl win sustained excellence shout jalen hurts
obama_2_33,2024-01-01 00:00:00,change game year leader court congrats history
obama_2_34,2024-01-01 00:00:00,scale devastation earthquake turkiye syria unimaginable michelle think thousand people affect include syrian refugee resource look help
obama_2_35,2024-01-01 00:00:00,black history month celebration white house folk age come celebrate
obama_2_36,2024-01-01 00:00:00,black history month share experience black americans life shape challenge ultimately strengthen america
obama_2_37,2024-01-01 00:00:00,mourn tyre support family mobilize change learn community reimagine public safety prevent crime injustice
obama_2_38,2024-01-01 00:00:00,vicious unjustified beating tyre nichols ultimate death hand memphis police officer late painful reminder far america fix police street
obama_2_39,2024-01-01 00:00:00,ask jeff zients handle tough challenge fail leadership prove invaluable lead economic team push progressive economic policy know hell serve american people new role
obama_2_40,2024-01-01 00:00:00,easy ron klain outstanding job distribute million vaccine pass bipartisan infrastructure bill ron help promise
obama_2_41,2024-01-01 00:00:00,learn folk sign health insurance affordable care act nov
obama_2_42,2024-01-01 00:00:00,believe young people passionate public service financial aid college exposure travel network need difference sky limit hope apply march
obama_2_43,2024-01-01 00:00:00,excited meet inaugural class voyager scholarship recipient summit year proud announce application second class voyagers open
obama_2_44,2024-01-01 00:00:00,hope join activist sound alarm issue year
obama_2_45,2024-01-01 00:00:00,anniversary roe wade remind progress backward mean recommit protect expand reproductive right family
obama_2_46,2024-01-01 00:00:00,prime minister guide new zealand crisis seize opportunity lead foresight integrity empathy country remarkable leadership
obama_2_47,2024-01-01 00:00:00,proud visit hometown chicago ukrainian community big city special
obama_2_48,2024-01-01 00:00:00,solidify alliance offer guide hand time increase global conflict upheaval grateful president biden vice president harris american people know start
obama_2_49,2024-01-01 00:00:00,time nearly year congress able pass significant gun safety legislation help save life
obama_2_50,2024-01-01 00:00:00,leadership biden harris administration economy add job president biden work aisle rebuild infrastructure invest american manufacturing
obama_2_51,2024-01-01 00:00:00,strengthen affordable care act lower health care cost senior cap cost insulin distribute million free vaccine
obama_2_52,2024-01-01 00:00:00,mark year biden harris administration begin reflect fortunate steady leadership
obama_2_53,2024-01-01 00:00:00,application open new leaders usa program look passionate emerge leader corner country age impact community hope apply february
obama_2_54,2024-01-01 00:00:00,happy birthday day brighter
obama_2_55,2024-01-01 00:00:00,pay tribute extraordinary life legacy king reflect lesson teach thank join lend hand chicago
obama_2_56,2024-01-01 00:00:00,need cover head open enrollment end sunday january
obama_2_57,2024-01-01 00:00:00,ill proud associate program help folk health care need
obama_2_58,2024-01-01 00:00:00,week illinois join state country pass historic gun violence prevention package possible work grassroots organizer survivor family lawmaker channel anguish bold action
obama_2_59,2024-01-01 00:00:00,new humanitarian sponsorship program vulnerable newcomer find safety support
obama_3_60,2024-01-01 00:00:00,nearly people sign coverage affordable care act start open enrollment
obama_3_61,2024-01-01 00:00:00,haven hope time watch descendant important documentary share story descendant clotilda know ship carry enslave folk africa uncover truth past
obama_3_62,2024-01-01 00:00:00,fall visual artist adam davis capture tintype descendant africatown premiere documentary descendant recently inspire clotilda survivor cudjoe lewis
obama_3_63,2024-01-01 00:00:00,lucky grow surround relative
obama_3_64,2024-01-01 00:00:00,entire world stake success brazils democracy reject effort overturn disrupt brazilian people affirm peaceful transfer power cornerstone democracy
obama_3_65,2024-01-01 00:00:00,year ago campaign win iowa caucus ill grateful people organize state build relationship possible recently sit organizer talk time
obama_3_66,2024-01-01 00:00:00,happy new year people world help change community let lot work ill right happy healthy peaceful new year
obama_3_67,2024-01-01 00:00:00,work hopeful future support generation leader strengthen democracy world lot progress year look
obama_3_68,2024-01-01 00:00:00,pele great play beautiful game recognizable athlete world understand power sport bring people thought family love admire
obama_3_69,2024-01-01 00:00:00,michelle send good wish family celebrate kwanzaa holiday season begin week long celebration african american heritage culture folk gather light kinara hope happy kwanzaa
obama_3_70,2024-01-01 00:00:00,michelle send good wish family celebrate kwanzaa holiday season begin week long celebration african american heritage culture folk gather light kinara hope happy kwanzaa
obama_3_71,2024-01-01 00:00:00,michelle send good wish family celebrate kwanzaa holiday season begin week long celebration african american heritage culture folk gather light kinara hope happy kwanzaa
obama_3_72,2024-01-01 00:00:00,merry christmas good holiday season spend time special people life hope wonderful joyful christmas
obama_3_73,2024-01-01 00:00:00,enjoy share end year music playlist
obama_3_74,2024-01-01 00:00:00,great movie year favorite miss
obama_3_75,2024-01-01 00:00:00,look forward share list favorite book movie music book read enjoy year let know book check
obama_3_76,2024-01-01 00:00:00,grow watch franco harris honor know year later extraordinary man field miss thought family steeler nation
obama_3_77,2024-01-01 00:00:00,congrat argentina goat lionel messi amazing world cup victory
obama_3_78,2024-01-01 00:00:00,michelle send warm wish celebrate hanukkah time antisemitism rise world let remember light hope shine brighter hate family chag sameach
obama_3_79,2024-01-01 00:00:00,year family sandy hook unimaginable sorrow channel righteous cause
obama_3_80,2024-01-01 00:00:00,consider december single darkest day presidency news sandy hook elementary devastate visceral blow feel sorrow anger world allow thing happen
obama_3_81,2024-01-01 00:00:00,landmark moment fight equality tribute generation americans example advocacy law change heart mind victory powerful reminder continue perfect union
obama_3_82,2024-01-01 00:00:00,mandate federal recognition sex marriage respect marriage act bring close preserve fundamental right american marry love
obama_3_83,2024-01-01 00:00:00,supreme court recognize constitutional right marriage equality progress come small increment day slow steady effort reward justice arrive thunderbolt day
obama_3_84,2024-01-01 00:00:00,grateful long overdue release brittney griner russian custody kudo administration difficult diplomatic work involve happen look forward brittney home
obama_3_85,2024-01-01 00:00:00,night president join family honor precious child brave adult
obama_3_86,2024-01-01 00:00:00,georgians prove come time vote vote leader fight congratulation
obama_3_87,2024-01-01 00:00:00,vote vote build work people john lewis ann nixon cooper pave way vote build future generation
obama_3_88,2024-01-01 00:00:00,georgia time vote elect sure family friend neighbor vote find polling location
obama_4_89,2024-01-01 00:00:00,affordable health care right privilege haven sure sign health care open enrollment period pick plan work family
obama_4_90,2024-01-01 00:00:00,ask georgian vote reverend warnock know vote tired plan vote
obama_4_91,2024-01-01 00:00:00,hard work god fear community serve leader tell truth stick word treat decency respect hell georgia proud senate
obama_4_92,2024-01-01 00:00:00,georgia deliver simple message vote elect tune
obama_4_93,2024-01-01 00:00:00,georgia involve election chip reach family friend georgia remind vote lets elect
obama_4_94,2024-01-01 00:00:00,georgia lets time need vote send senate find polling place plan vote early
obama_4_95,2024-01-01 00:00:00,michelle start support generation leader pick baton create sustainable change community tuesday ask help work
obama_4_96,2024-01-01 00:00:00,month speak incredible small business leader work south west chicago build presidential center work closely business hope center help boost economic growth city
obama_4_97,2024-01-01 00:00:00,favorite white house tradition tell thanksgiving joke think funny look favorite
obama_4_98,2024-01-01 00:00:00,wish happy thanksgiving celebrate let thank blessing life think brave man woman serve country far home
obama_4_99,2024-01-01 00:00:00,voter state
obama_4_100,2024-01-01 00:00:00,thank ndrc state gerrymander republicans
obama_4_101,2024-01-01 00:00:00,reason balance power house representatives close time decade competitive district play thank work americans vote fair congressional map year
obama_4_102,2024-01-01 00:00:00,reduce gun violence america
obama_4_103,2024-01-01 00:00:00,inspire generation leader
obama_4_104,2024-01-01 00:00:00,eve trans day remembrance lgbtq community colorado springs terrorize gun violence
obama_4_105,2024-01-01 00:00:00,luck world cup michelle incredibly proud accomplish far root way
obama_4_106,2024-01-01 00:00:00,happy birthday lot celebrate day grateful america sit desk
obama_4_107,2024-01-01 00:00:00,chance meet inaugural recipient voyager scholarship michelle brian wait work talented young people year pursue career public service
obama_4_108,2024-01-01 00:00:00,leader work hard tackle tough challenge great join share work
obama_4_109,2024-01-01 00:00:00,happy announce launch new expand leaders united states program come month help young people idealism work michelle proud support young leader work foundation
obama_4_110,2024-01-01 00:00:00,democracy forum bring leader world share idea discuss way strengthen democracy
obama_4_111,2024-01-01 00:00:00,new york city democracyforum leader world discuss strengthen democracy support generation leader work important challenge tune
obama_4_112,2024-01-01 00:00:00,speaker nancy pelosi accomplished legislator american history
obama_4_113,2024-01-01 00:00:00,fight protect daca recipient remain unfinished early year sit group dreamers story speak way strengthen community congress act resolve status
obama_4_114,2024-01-01 00:00:00,good news arizona voter approve ballot initiative dreamer eligible state tuition credit organizer share family story assemble bipartisan coalition supporter
obama_4_115,2024-01-01 00:00:00,rest peace virginia know dancing
obama_4_116,2024-01-01 00:00:00,talent fact fantastic writer new book light carry share tool lesson learn help navigate time uncertainty book want
obama_4_117,2024-01-01 00:00:00,congratulation organizer volunteer south dakota result week work expand medicaid possible million americans access health care
obama_4_118,2024-01-01 00:00:00,push hard aca health care right privilege important testament happen citizen willing grab clipboard signature build coalition bring change
obama_5_119,2024-01-01 00:00:00,week voter south dakota choose expand access medicaid affordable care act possible south dakotans access health care good news state expand medicaid
obama_5_120,2024-01-01 00:00:00,right folk job important step rest need speak dangerous candidate support good vote ballot democracy depend
obama_5_121,2024-01-01 00:00:00,elect secretary state arizona adrians opponent capitol january suggest reject democratic vote future adrian believe vote count hell able happen arizona
obama_5_122,2024-01-01 00:00:00,great job michigans secretary state elect continue sure michiganders vote count election
obama_5_123,2024-01-01 00:00:00,let celebrate democratic candidate nevadas secretary state opponent spread conspiracy theory lie voting machine cisco protect integrity nevadas election
obama_5_124,2024-01-01 00:00:00,emphasize secretary state race matter attention crucial ensure fair election
obama_5_125,2024-01-01 00:00:00,thank proudly serve country uniform family serve owe
obama_5_126,2024-01-01 00:00:00,exciting news speaker join
obama_5_127,2024-01-01 00:00:00,democracy thrive need tell story live difference november join global leader work protect democracy democracyforum
obama_5_128,2024-01-01 00:00:00,election million people cast ballot america fair equal free forward democracy resilient long stay engaged active election
obama_5_129,2024-01-01 00:00:00,sit election plan vote run issue vote question cal
obama_5_130,2024-01-01 00:00:00,midterm election matter let convince vote difference poll vote democrats ballot
obama_5_131,2024-01-01 00:00:00,kind slash burn politic right vote help
obama_5_132,2024-01-01 00:00:00,simple message vote
obama_5_133,2024-01-01 00:00:00,let plan vote
obama_5_134,2024-01-01 00:00:00,democracy ballot want build progress democrats far need voice hear tuesday vote november encourage friend family neighbor join
obama_5_135,2024-01-01 00:00:00,thing change thing stay proud stand
obama_5_136,2024-01-01 00:00:00,fire philadelphia friend sure turn vote election tune live
obama_5_137,2024-01-01 00:00:00,pennsylvania sure vote governor house senate work difference folk plan vote
obama_5_138,2024-01-01 00:00:00,day leave election day tune share important support democratic candidate ballot pennsylvania
obama_5_139,2024-01-01 00:00:00,way democracy strong fight start elect people know understand vote democrats ballot election day
obama_5_140,2024-01-01 00:00:00,break barrier expose young people new pathway success limit accomplish drive idea program look forward young man
obama_5_141,2024-01-01 00:00:00,election set direction country year come important voice hear vote early november plan
obama_5_142,2024-01-01 00:00:00,arizona chance vote candidate work build inclusive hopeful forward look america believe
obama_5_143,2024-01-01 00:00:00,arizona support democratic candidate fight tune
obama_5_144,2024-01-01 00:00:00,pay security life earn republicans congress want cut
obama_5_145,2024-01-01 00:00:00,voice hear thing build country fair equal free
obama_5_146,2024-01-01 00:00:00,anxious frustrated right complain tune let convince vote matter
