id,date,text
obama_1_0,2023-03-31 00:00:00,Our @ObamaFoundation leaders are working to protect trans rights and those in the LGBTQIA+ community around the wor… https://t.co/VDe3ua1Jli
obama_1_1,2023-03-31 00:00:00,"On this Transgender Day of Visibility, Michelle and I want every trans person in America"
obama_1_2,2023-03-28 00:00:00,"Grateful to all the first responders and volunteers working to help those impacted by the Mississippi tornadoes.

I… https://t.co/IP62KjaItV"
obama_1_3,2023-03-27 00:00:00,"We are failing our children. Guns are now the leading cause of death for children in the U.S.

Michelle and I mourn… https://t.co/fq5MeqqtWo"
obama_1_4,2023-03-23 00:00:00,"I hope their stories inspire you to help us protect the Affordable Care Act, so Americans everywhere can continue t… https://t.co/GWMbUaTsmA"
obama_1_5,2023-03-23 00:00:00,"To celebrate the 13th anniversary of the Affordable Care Act, @POTUS and I surprised some folks whose lives have be… https://t.co/qsTsgWxTZ6"
obama_1_6,2023-03-23 00:00:00,"I know so many of you have a story of how access to health care changed your life, in big ways or small. 

At the… https://t.co/GsUkT0LqP6"
obama_1_7,2023-03-23 00:00:00,"Since 2010, the ACA has provided more than 40 million Americans access to health care, expanded Medicaid to 40 stat… https://t.co/okTTxeVdbe"
obama_1_8,2023-03-23 00:00:00,"Thirteen years ago today, I signed the Affordable Care Act into law.

The night the ACA passed was incredibly meani… https://t.co/IzbDDwpEPD"
obama_1_9,2023-03-22 00:00:00,"At the @ObamaFoundation, we’ve been working to support the next generation of leaders tackling this issue, many of… https://t.co/A7IQ38Hz9s"
obama_1_10,2023-03-22 00:00:00,It's also important to note that @POTUS and his administration have taken historic steps that move us closer than b… https://t.co/RzbIms0pDL
obama_1_11,2023-03-22 00:00:00,The impacts of climate change are why we pushed so hard for the Paris Agreement during my time in office
obama_1_12,2023-03-22 00:00:00,This week's climate report from the IPCC is an urgent reminder of the limited window we have to deal with the clima… https://t.co/ldyneVI1b9
obama_1_13,2023-03-21 00:00:00,".@BChesky, @MichelleObama, and I created The Voyager Scholarship to support the next generation of leaders looking… https://t.co/jrjDEpS50m"
obama_1_14,2023-03-21 00:00:00,"And if you’re looking for ways to help out in your community, sign up to volunteer with @WisDems. https://t.co/ZIhxkfsYmq"
obama_1_15,2023-03-21 00:00:00,"Today is the first day of early voting in the Wisconsin Supreme Court election. It's going to be close, so don’t wa… https://t.co/XIaNSKOCTz"
obama_1_16,2023-03-19 00:00:00,Here’s an example of a smart policy that gets rid of unnecessary college degree requirements and reduces barriers t… https://t.co/TkO99uSuUf
obama_1_17,2023-03-17 00:00:00,"From the O’Bama family to yours, Happy St. Patrick’s Day! https://t.co/MmoHRpisAv"
obama_1_18,2023-03-15 00:00:00,"It’s the best time of year! My #MarchMadness brackets will get busted soon enough, but here are my picks. 

Who do… https://t.co/cCirFMHD1B"
obama_1_19,2023-03-15 00:00:00,"RT @ObamaFoundation: “Change starts when ordinary people decide they’re going to do extraordinary things.”

Listen to @BarackObama's moving…"
obama_1_20,2023-03-15 00:00:00,"RT @POTUS: I signed into law the most significant gun safety reform in nearly three decades.
 
But Congress must do more.
 
Let’s pass univ…"
obama_1_21,2023-03-13 00:00:00,"I'm incredibly proud and inspired by @BSW5020 and @Sabrevaya, their family, and the movement they've brought together to fight ALS. They've taken an incredibly challenging moment and are driving change. And they're not done yet."
obama_1_22,2023-03-10 00:00:00,"For Women's History Month, I wanted to share the stories of Cary and Sharika"
obama_1_23,2023-03-10 00:00:00,.@DemRedistrict hasn’t just been fighting for fair maps
obama_1_24,2023-03-08 00:00:00,"This International Women's Day, read how @MichelleObama, @MelindaGates and Amal Clooney are working together to help end child marriage. I'm proud of the work @GirlsAlliance is doing to take on issues like this to create a better world for girls everywhere.https://t.co/m49a4abtjk"
obama_1_25,2023-03-05 00:00:00,Judy Heumann dedicated her life to the fight for civil rights
obama_1_26,2023-03-02 00:00:00,"“Fired up. Ready to go!” Edith Childs understands the power of a single voice, and she used those words to light up a room during my campaign stop in Greenwood, SC back in 2007.

I recently caught up with Edith, who just retired after 24 years in public service. Take a look: https://t.co/IhW6pqnAQR"
obama_1_27,2024-01-01 00:00:00,"Real change happens one person, one community, one connection at a time. If you’re an emerging leader in Chicago, Detroit, or Jackson"
obama_1_28,2024-01-01 00:00:00,"I’m so proud of the work we’ve done at @MBK_Alliance, and the young men who’ve been a part of this community. And we're not done yet. We’ll keep working to make sure even more boys and young men reach their full potential."
obama_1_29,2024-01-01 00:00:00,"I’m excited to announce that 105 inspiring young people from across Africa, Asia-Pacific, and Europe will be joining the @ObamaFoundation Leaders program. 

I am so proud of all of you, and I can't wait to see what you do. https://t.co/ifQMoumj2Q"
obama_2_30,2024-01-01 00:00:00,"Dr. Blank's four years serving in my administration was just one part of her extraordinary life. Whether in government or academia, she devoted her career to reducing inequality and increasing opportunities for others, and made everyone around her better. 
https://t.co/wMGjRAacfN"
obama_2_31,2024-01-01 00:00:00,"Happy Valentine’s Day to the one and only, @MichelleObama. You make every day feel like an adventure. https://t.co/NfywjrrDxb"
obama_2_32,2024-01-01 00:00:00,"Congratulations to the Kansas City @Chiefs, Patrick Mahomes, Travis Kelce and Andy Reid for a great Super Bowl win and for sustained excellence. And shout out to the @Eagles and Jalen Hurts"
obama_2_33,2024-01-01 00:00:00,"@KingJames has been changing the game for 20 years, and has become a leader on and off the court. Congrats on making history."
obama_2_34,2024-01-01 00:00:00,"The scale of devastation after the earthquakes in Türkiye and Syria is almost unimaginable. Michelle and I are thinking of the thousands of people who have been affected, including Syrian refugees. Here are some resources for anyone looking to help."
obama_2_35,2024-01-01 00:00:00,"At my last Black History Month celebration at the White House, we had folks of all ages come together to celebrate"
obama_2_36,2024-01-01 00:00:00,"Black History Month is about the shared experience of all Black Americans whose lives have shaped, challenged, and ultimately strengthened America."
obama_2_37,2024-01-01 00:00:00,"Along with mourning Tyre and supporting his family, it’s up to all of us to mobilize for lasting change. To learn more about how communities can reimagine public safety to prevent both crime and injustice, go to https://t.co/I39Nsel4vs."
obama_2_38,2024-01-01 00:00:00,"The vicious, unjustified beating of Tyre Nichols and his ultimate death at the hands of five Memphis police officers is just the latest, painful reminder of how far America still has to go in fixing how we police our streets. https://t.co/ITmrNNJhiT"
