source,target,weight
world,book,21
world,think,67
world,big,158
world,donald,72
world,trump,253
world,day,114
world,great,455
world,night,27
world,look,80
world,news,74
world,don,19
world,second,29
world,family,37
world,watch,92
world,new,134
world,economy,82
world,president,235
world,job,90
world,let,54
world,number,50
world,stop,58
world,america,265
world,beautiful,56
world,country,384
world,china,105
world,military,67
world,national,45
world,talk,42
world,state,73
world,business,56
world,live,35
world,record,46
world,obama,39
world,know,138
world,honor,48
world,office,32
world,believe,35
world,need,87
world,fight,46
world,start,58
world,try,45
world,amazing,36
world,good,182
world,soon,50
world,run,60
world,deal,73
world,way,75
world,american,110
world,people,225
world,real,30
world,want,125
world,election,119
world,money,35
world,thing,80
world,leave,33
world,love,59
world,tell,44
world,lead,55
world,vote,54
world,york,50
world,change,46
world,come,106
world,time,129
world,place,81
world,wonderful,49
world,pay,53
world,thank,122
world,bill,24
world,far,75
world,strong,96
world,story,20
world,true,25
world,win,96
world,year,165
world,help,49
world,nation,111
world,report,26
world,history,109
world,interview,10
world,bring,75
world,usa,83
world,leader,89
world,congress,16
world,man,59
world,bad,120
world,allow,50
world,include,70
world,total,37
world,protect,32
world,united,191
world,fantastic,16
world,hard,34
world,work,98
world,end,77
world,long,77
world,states,180
world,security,50
world,fact,49
world,cut,20
world,republican,37
world,happen,103
world,russia,58
world,energy,41
world,house,43
world,white,35
world,right,67
world,life,43
world,totally,32
world,order,48
world,democrat,32
world,administration,50
world,political,71
world,incredible,40
world,hillary,16
world,left,63
world,presidential,43
world,illegal,43
world,support,28
world,lose,41
world,campaign,34
world,crooked,77
world,poll,16
world,debate,14
world,border,85
world,law,51
world,democrats,47
world,crime,55
world,high,45
world,fake,80
world,republicans,15
world,lie,13
world,party,30
world,complete,36
world,radical,59
world,justice,31
world,judge,31
world,low,39
world,governor,23
world,case,49
world,amendment,11
world,corrupt,41
world,maga,35
world,court,26
world,biden,112
world,joe,100
world,secure,28
thing,big,159
thing,donald,67
thing,trump,235
thing,cut,29
thing,deal,70
thing,good,255
thing,bad,175
thing,house,60
thing,lead,37
thing,china,61
thing,new,93
thing,obama,48
thing,office,33
thing,stop,50
thing,watch,75
thing,bill,35
thing,end,60
thing,high,39
thing,america,143
thing,know,115
thing,need,80
thing,president,207
thing,strong,59
thing,family,26
thing,time,148
thing,come,92
thing,great,334
thing,news,98
thing,right,128
thing,run,68
thing,book,17
thing,second,26
thing,amazing,21
thing,republican,58
thing,people,197
thing,country,226
thing,court,43
thing,work,128
thing,bring,46
thing,case,61
thing,want,152
thing,poll,37
thing,think,84
thing,state,78
thing,money,49
thing,happen,200
thing,let,56
thing,american,51
thing,election,132
thing,win,100
thing,night,27
thing,totally,41
thing,business,33
thing,love,59
thing,life,34
thing,national,23
thing,change,45
thing,vote,95
thing,fantastic,16
thing,hard,49
thing,fact,57
thing,true,35
thing,soon,28
thing,way,68
thing,thank,88
thing,year,128
thing,man,56
thing,tell,50
thing,believe,35
thing,job,54
thing,pay,40
thing,talk,49
thing,story,36
thing,don,23
thing,long,79
thing,support,32
thing,report,28
thing,day,73
thing,white,37
thing,fight,52
thing,leader,26
thing,look,77
thing,real,25
thing,try,47
thing,start,45
thing,complete,39
thing,justice,28
thing,total,43
thing,wonderful,45
thing,usa,45
thing,record,36
thing,low,38
thing,governor,32
thing,russia,48
thing,states,93
thing,united,88
thing,live,10
thing,york,41
thing,lie,40
thing,political,58
thing,place,45
thing,number,33
thing,amendment,28
thing,campaign,51
thing,presidential,60
thing,help,39
thing,include,53
thing,incredible,33
thing,security,47
thing,far,56
thing,joe,75
thing,hillary,38
thing,nation,35
thing,illegal,31
thing,interview,23
thing,debate,19
thing,lose,44
thing,republicans,46
thing,order,54
thing,leave,27
thing,allow,47
thing,crooked,65
thing,protect,24
thing,corrupt,38
thing,economy,36
thing,honor,13
thing,fake,106
thing,democrats,110
thing,democrat,72
thing,border,51
thing,crime,52
thing,military,45
thing,beautiful,56
thing,administration,45
thing,law,26
thing,congress,29
thing,history,54
thing,maga,26
thing,energy,24
thing,endorsement,28
thing,congressman,25
thing,secure,16
thing,district,19
thing,left,61
thing,judge,43
thing,party,40
thing,radical,64
thing,biden,113
don,book,13
don,think,66
don,business,21
don,donald,57
don,run,74
don,trump,131
don,look,30
don,new,34
don,big,33
don,great,69
don,watch,46
don,night,17
don,vote,33
don,let,51
don,republicans,15
don,deal,25
don,good,54
don,people,97
don,interview,14
don,want,68
don,house,19
don,obama,43
don,white,16
don,complete,13
don,need,54
don,support,16
don,know,100
don,money,21
don,time,43
don,china,19
don,america,33
don,job,24
don,country,42
don,talk,15
don,believe,42
don,work,32
don,way,18
don,news,29
don,president,70
don,pay,10
don,day,17
don,energy,23
don,total,17
don,real,11
don,campaign,15
don,story,12
don,true,23
don,year,21
don,fact,13
don,come,27
don,election,16
don,win,50
don,bad,30
don,right,21
don,stop,12
don,poll,17
don,start,14
don,tell,20
don,state,14
don,change,17
don,lose,20
don,man,24
don,love,35
don,thank,55
don,leader,13
don,life,11
don,far,12
don,hard,16
don,try,12
don,long,14
don,bill,10
don,place,12
don,fight,13
don,hillary,25
don,democrats,12
don,allow,13
don,american,10
don,border,13
don,crooked,14
don,fake,23
leader,lead,35
leader,night,11
leader,china,40
leader,look,36
leader,real,40
leader,great,225
leader,true,36
leader,america,108
leader,need,113
leader,new,50
leader,economy,35
leader,watch,17
leader,history,26
leader,nation,31
leader,national,23
leader,strong,65
leader,day,27
leader,talk,14
leader,want,70
leader,time,61
leader,american,60
leader,obama,27
leader,vote,32
leader,know,52
leader,president,117
leader,job,56
leader,bring,31
leader,country,131
leader,life,21
leader,people,83
leader,support,43
leader,pay,20
leader,long,29
leader,let,31
leader,run,40
leader,record,14
leader,cut,20
leader,work,73
leader,allow,21
leader,good,53
leader,far,24
leader,thank,88
leader,big,53
leader,military,40
leader,love,34
leader,think,23
leader,win,34
leader,russia,11
leader,trump,103
leader,states,52
leader,united,59
leader,happen,25
leader,way,17
leader,year,55
leader,donald,35
leader,state,53
leader,bad,29
leader,fight,40
leader,order,15
leader,political,24
leader,man,22
leader,security,15
leader,joe,26
leader,house,45
leader,money,12
leader,deal,28
leader,protect,33
leader,office,17
leader,end,18
leader,leave,16
leader,republican,41
leader,york,12
leader,right,23
leader,wonderful,31
leader,total,49
leader,help,26
leader,believe,15
leader,business,37
leader,come,25
leader,republicans,17
leader,lose,16
leader,fantastic,18
leader,border,41
leader,hard,30
leader,usa,22
leader,change,12
leader,illegal,18
leader,party,27
leader,try,11
leader,stop,40
leader,news,20
leader,campaign,15
leader,amendment,28
leader,white,23
leader,case,10
leader,democrat,15
leader,presidential,16
leader,left,21
leader,law,26
leader,second,31
leader,soon,10
leader,fact,11
leader,governor,13
leader,totally,10
leader,family,24
leader,radical,23
leader,maga,21
leader,election,35
leader,bill,20
leader,honor,25
leader,democrats,25
leader,include,28
leader,fake,17
leader,administration,17
leader,start,16
leader,complete,46
leader,congressman,26
leader,congress,34
leader,crooked,12
leader,energy,18
leader,incredible,27
leader,beautiful,23
leader,endorsement,44
leader,justice,10
leader,crime,19
leader,secure,30
leader,biden,29
leader,district,22
run,business,65
run,donald,154
run,trump,403
run,fantastic,60
run,presidential,75
run,support,105
run,thank,184
run,want,159
run,china,28
run,election,175
run,record,58
run,president,732
run,think,99
run,interview,23
run,obama,52
run,party,69
run,people,261
run,vote,298
run,win,184
run,great,446
run,job,103
run,money,58
run,stop,118
run,campaign,110
run,congress,133
run,law,88
run,good,128
run,news,52
run,right,69
run,fact,52
run,need,266
run,year,115
run,america,249
run,bad,101
run,office,97
run,try,40
run,country,331
run,protect,105
run,amazing,24
run,joe,116
run,real,49
run,day,67
run,man,91
run,governor,117
run,energy,71
run,fight,118
run,story,19
run,state,222
run,lose,49
run,republicans,43
run,place,53
run,deal,32
run,big,135
run,time,153
run,long,68
run,allow,60
run,political,58
run,let,153
run,democrat,92
run,look,84
run,hillary,65
run,tell,44
run,new,125
run,night,26
run,love,126
run,york,66
run,way,70
run,watch,78
run,biden,127
run,lead,63
run,order,51
run,talk,29
run,total,243
run,house,85
run,true,58
run,come,67
run,help,85
run,republican,134
run,work,148
run,bring,59
run,believe,27
run,american,122
run,change,35
run,happen,61
run,know,179
run,russia,21
run,life,28
run,live,14
run,economy,109
run,number,46
run,hard,89
run,cut,66
run,pay,29
run,high,35
run,usa,31
run,white,37
run,beautiful,25
run,nation,43
run,strong,100
run,complete,218
run,honor,23
run,states,90
run,united,72
run,corrupt,47
run,national,30
run,family,32
run,debate,27
run,totally,39
run,second,154
run,soon,27
run,incredible,92
run,book,15
run,start,36
run,administration,23
run,left,80
run,military,152
run,leave,28
run,low,42
run,democrats,94
run,lie,27
run,history,52
run,far,49
run,poll,60
run,wonderful,54
run,end,43
run,border,164
run,bill,21
run,include,46
run,report,13
run,justice,29
run,illegal,30
run,endorsement,226
run,crooked,94
run,court,41
run,fake,59
run,district,129
run,crime,123
run,maga,98
run,case,53
run,judge,36
run,congressman,53
run,amendment,151
run,radical,80
run,secure,128
run,security,20
win,donald,87
win,life,44
win,trump,406
win,american,124
win,good,193
win,great,667
win,new,200
win,true,55
win,help,110
win,work,172
win,day,102
win,bill,44
win,night,114
win,time,232
win,watch,83
win,want,191
win,fantastic,78
win,live,17
win,come,139
win,job,150
win,congressman,37
win,election,413
win,way,132
win,economy,81
win,book,24
win,real,34
win,interview,23
win,party,120
win,know,205
win,debate,88
win,high,51
win,america,283
win,energy,56
win,record,70
win,talk,43
win,news,135
win,york,65
win,obama,68
win,people,284
win,vote,245
win,look,123
win,love,118
win,state,313
win,thank,181
win,business,26
win,leave,37
win,lead,69
win,end,58
win,believe,53
win,think,118
win,far,82
win,support,81
win,endorsement,143
win,try,67
win,soon,38
win,amazing,39
win,usa,57
win,big,509
win,pay,41
win,national,44
win,china,56
win,let,120
win,include,86
win,place,60
win,man,52
win,bad,137
win,tell,54
win,poll,131
win,republicans,142
win,republican,223
win,security,42
win,low,45
win,total,143
win,campaign,94
win,political,84
win,bring,65
win,country,270
win,start,63
win,deal,58
win,allow,75
win,president,211
win,office,38
win,year,151
win,lose,135
win,strong,92
win,need,87
win,long,89
win,money,68
win,presidential,110
win,democrats,172
win,order,50
win,case,77
win,joe,124
win,happen,99
win,democrat,83
win,right,76
win,court,96
win,stop,82
win,hillary,68
win,house,106
win,story,32
win,justice,44
win,hard,100
win,white,46
win,wonderful,71
win,united,108
win,honor,52
win,fact,66
win,number,93
win,governor,108
win,change,43
win,fight,142
win,totally,59
win,family,35
win,beautiful,41
win,law,51
win,congress,50
win,protect,42
win,amendment,72
win,history,87
win,border,121
win,states,127
win,incredible,69
win,lie,34
win,corrupt,62
win,cut,52
win,illegal,53
win,nation,50
win,report,42
win,radical,102
win,crooked,104
win,judge,61
win,crime,81
win,maga,92
win,second,72
win,military,91
win,fake,140
win,district,47
win,russia,37
win,secure,58
win,administration,26
win,complete,101
win,left,98
win,biden,155
people,donald,138
people,trump,536
people,new,364
people,work,579
people,china,92
people,country,763
people,right,191
people,life,138
people,live,54
people,think,198
people,want,499
people,interview,50
people,national,84
people,deal,133
people,good,335
people,day,204
people,time,374
people,america,564
people,american,641
people,need,193
people,president,504
people,beautiful,90
people,love,269
people,business,114
people,job,385
people,talk,127
people,party,119
people,include,174
people,look,246
people,book,64
people,great,1371
people,wonderful,201
people,watch,169
people,believe,104
people,family,110
people,biden,287
people,help,235
people,debate,61
people,man,94
people,way,240
people,know,453
people,obama,115
people,vote,314
people,support,373
people,bad,313
people,fantastic,187
people,night,112
people,thank,307
people,law,279
people,crime,261
people,far,160
people,illegal,121
people,try,144
people,york,140
people,fight,380
people,state,389
people,number,175
people,happen,204
people,office,108
people,stop,308
people,pay,130
people,political,175
people,true,114
people,bill,76
people,real,94
people,change,85
people,united,305
people,let,345
people,lose,133
people,amazing,125
people,come,304
people,record,187
people,start,130
people,high,116
people,report,99
people,news,311
people,big,422
people,history,198
people,money,136
people,presidential,108
people,honor,80
people,democrat,142
people,tell,132
people,year,337
people,poll,126
people,place,142
people,leave,139
people,election,418
people,republicans,112
people,allow,193
people,economy,284
people,fact,148
people,long,214
people,congress,224
people,usa,94
people,energy,212
people,bring,170
people,story,84
people,total,522
people,soon,95
people,order,162
people,hard,352
people,lead,117
people,security,100
people,cut,177
people,end,131
people,states,312
people,low,130
people,lie,93
people,totally,132
people,judge,90
people,house,167
people,case,126
people,governor,137
people,administration,142
people,campaign,137
people,democrats,293
people,strong,241
people,complete,465
people,protect,278
people,russia,108
people,republican,180
people,incredible,341
people,district,358
people,nation,118
people,congressman,254
people,court,115
people,military,428
people,border,547
people,secure,338
people,white,83
people,hillary,75
people,endorsement,459
people,radical,224
people,joe,262
people,maga,148
people,amendment,372
people,corrupt,140
people,crooked,177
people,fake,326
people,justice,107
people,second,379
people,left,215
totally,interview,26
totally,obama,30
totally,deal,18
totally,good,46
totally,great,158
totally,lose,43
totally,number,26
totally,look,56
totally,national,15
totally,watch,48
totally,debate,21
totally,way,51
totally,happen,55
totally,let,34
totally,nation,24
totally,stop,23
totally,know,79
totally,night,22
totally,think,30
totally,come,48
totally,country,116
totally,right,41
totally,love,23
totally,news,101
totally,report,32
totally,want,73
totally,bad,88
totally,energy,17
totally,lie,43
totally,change,20
totally,republicans,32
totally,amazing,13
totally,life,17
totally,allow,64
totally,american,33
totally,believe,31
totally,campaign,35
totally,political,56
totally,beautiful,20
totally,year,73
totally,long,36
totally,case,74
totally,money,25
totally,fact,56
totally,military,26
totally,law,30
totally,story,49
totally,thank,37
totally,true,15
totally,end,24
totally,russia,27
totally,president,110
totally,new,80
totally,york,53
totally,bill,18
totally,real,19
totally,time,76
totally,job,46
totally,election,97
totally,party,22
totally,republican,29
totally,state,90
totally,economy,18
totally,lead,22
totally,office,23
totally,place,33
totally,usa,24
totally,business,16
totally,man,26
totally,need,20
totally,vote,44
totally,far,33
totally,work,54
totally,democrats,79
totally,trump,110
totally,hillary,40
totally,court,40
totally,america,69
totally,hard,19
totally,try,36
totally,donald,16
totally,low,14
totally,border,35
totally,security,25
totally,corrupt,80
totally,pay,38
totally,house,30
totally,big,66
totally,poll,24
totally,support,18
totally,record,28
totally,family,10
totally,talk,19
totally,protect,23
totally,china,17
totally,illegal,48
totally,soon,19
totally,high,18
totally,fight,34
totally,tell,10
totally,justice,32
totally,amendment,11
totally,crooked,84
totally,judge,55
totally,start,26
totally,book,18
totally,bring,35
totally,order,48
totally,help,21
totally,fake,116
totally,complete,17
totally,white,16
totally,include,37
totally,democrat,40
totally,crime,44
totally,congress,23
totally,states,41
totally,united,38
totally,strong,21
totally,day,26
totally,leave,18
totally,total,26
totally,administration,18
totally,history,37
totally,wonderful,15
totally,incredible,10
totally,maga,24
totally,endorsement,13
totally,governor,17
totally,second,14
totally,left,58
totally,radical,55
totally,presidential,41
totally,biden,90
totally,joe,74
tell,trump,168
tell,obama,56
tell,way,41
tell,military,18
tell,support,16
tell,china,31
tell,strong,26
tell,america,60
tell,book,32
tell,new,64
tell,time,90
tell,debate,10
tell,interview,14
tell,think,44
tell,day,31
tell,leave,20
tell,political,34
tell,cut,17
tell,deal,36
tell,come,58
tell,need,44
tell,year,67
tell,true,20
tell,want,95
tell,office,29
tell,help,27
tell,house,25
tell,national,16
tell,big,51
tell,watch,29
tell,russia,16
tell,second,10
tell,good,74
tell,great,130
tell,story,46
tell,long,52
tell,country,108
tell,high,26
tell,security,17
tell,democrat,29
tell,vote,52
tell,administration,24
tell,night,20
tell,hard,24
tell,lie,52
tell,look,41
tell,lead,16
tell,donald,40
tell,know,85
tell,thank,56
tell,election,67
tell,republican,33
tell,republicans,18
tell,talk,24
tell,business,17
tell,president,115
tell,soon,12
tell,happen,48
tell,white,13
tell,start,30
tell,life,19
tell,let,36
tell,live,12
tell,pay,32
tell,stop,38
tell,low,18
tell,right,52
tell,family,15
tell,money,31
tell,far,29
tell,york,31
tell,work,50
tell,crime,26
tell,place,27
tell,record,20
tell,change,16
tell,love,26
tell,case,42
tell,governor,20
tell,congress,15
tell,try,30
tell,total,18
tell,history,27
tell,believe,24
tell,job,30
tell,fact,36
tell,american,37
tell,lose,25
tell,state,58
tell,real,17
tell,news,49
tell,man,25
tell,nation,17
tell,bad,57
tell,usa,20
tell,economy,11
tell,bring,25
tell,number,35
tell,poll,17
tell,illegal,17
tell,joe,50
tell,fake,67
tell,fight,19
tell,campaign,39
tell,beautiful,12
tell,border,20
tell,report,15
tell,hillary,12
tell,honor,10
tell,court,20
tell,party,23
tell,crooked,39
tell,complete,12
tell,bill,16
tell,judge,35
tell,democrats,44
tell,wonderful,18
tell,end,35
tell,justice,24
tell,law,21
tell,allow,28
tell,incredible,13
tell,maga,13
tell,states,43
tell,united,46
tell,corrupt,24
tell,presidential,11
tell,include,24
tell,left,33
tell,radical,31
tell,biden,53
tell,order,28
tell,energy,10
bring,donald,46
bring,trump,203
bring,amendment,28
bring,let,61
bring,vote,68
bring,need,45
bring,talk,28
bring,job,121
bring,real,25
bring,start,36
bring,night,13
bring,watch,28
bring,look,49
bring,work,102
bring,fight,59
bring,case,161
bring,great,244
bring,right,64
bring,high,36
bring,record,39
bring,year,127
bring,crime,77
bring,state,123
bring,family,27
bring,life,25
bring,president,153
bring,bad,72
bring,long,66
bring,live,16
bring,soon,25
bring,campaign,60
bring,support,39
bring,obama,23
bring,stop,47
bring,time,110
bring,country,172
bring,happen,48
bring,know,72
bring,thank,64
bring,house,41
bring,big,96
bring,energy,27
bring,think,40
bring,america,164
bring,military,40
bring,true,11
bring,judge,80
bring,pay,37
bring,deal,38
bring,russia,31
bring,fantastic,16
bring,business,41
bring,place,39
bring,believe,26
bring,usa,36
bring,day,52
bring,total,60
bring,white,30
bring,strong,49
bring,come,59
bring,american,103
bring,honor,17
bring,beautiful,25
bring,office,46
bring,leave,22
bring,help,60
bring,new,127
bring,party,30
bring,way,56
bring,love,48
bring,good,66
bring,bill,26
bring,china,39
bring,incredible,35
bring,change,21
bring,man,19
bring,far,45
bring,story,16
bring,news,53
bring,want,99
bring,poll,21
bring,lead,28
bring,states,111
bring,united,109
bring,try,37
bring,hard,38
bring,money,33
bring,national,31
bring,political,74
bring,presidential,40
bring,republican,40
bring,cut,16
bring,security,24
bring,democrats,53
bring,nation,46
bring,justice,58
bring,border,58
bring,illegal,35
bring,history,77
bring,election,147
bring,governor,26
bring,hillary,14
bring,second,28
bring,protect,26
bring,end,60
bring,lose,27
bring,economy,40
bring,crooked,70
bring,radical,59
bring,amazing,11
bring,low,33
bring,maga,36
bring,include,51
bring,wonderful,31
bring,number,44
bring,order,58
bring,fake,81
bring,allow,56
bring,administration,32
bring,fact,59
bring,york,79
bring,report,16
bring,court,52
bring,law,58
bring,congressman,16
bring,corrupt,66
bring,lie,24
bring,complete,43
bring,endorsement,33
bring,democrat,50
bring,republicans,23
bring,left,52
bring,secure,32
bring,congress,28
bring,district,34
bring,biden,114
bring,joe,87
left,need,32
left,country,279
left,job,81
left,lead,31
left,lose,49
left,money,37
left,real,27
left,man,36
left,trump,145
left,great,291
left,work,116
left,business,19
left,let,81
left,usa,39
left,national,21
left,military,68
left,second,64
left,president,135
left,true,23
left,family,24
left,time,89
left,hard,81
left,nation,55
left,try,77
left,america,192
left,book,24
left,good,78
left,new,139
left,love,44
left,right,74
left,strong,55
left,big,105
left,look,65
left,believe,29
left,crime,84
left,democrats,292
left,far,76
left,fight,98
left,long,61
left,want,171
left,fake,112
left,news,90
left,report,20
left,bad,99
left,fantastic,21
left,happen,61
left,radical,801
left,know,106
left,democrat,121
left,party,69
left,wonderful,31
left,illegal,38
left,states,84
left,united,76
left,office,32
left,way,79
left,court,70
left,economy,52
left,soon,15
left,state,104
left,day,58
left,fact,42
left,judge,58
left,year,93
left,law,68
left,republican,76
left,republicans,70
left,vote,95
left,low,25
left,border,93
left,come,81
left,political,76
left,secure,59
left,security,23
left,deal,19
left,life,38
left,thank,53
left,energy,33
left,stop,66
left,debate,23
left,election,176
left,think,37
left,campaign,54
left,corrupt,59
left,maga,66
left,russia,34
left,watch,44
left,congress,47
left,case,67
left,crooked,106
left,hillary,11
left,allow,80
left,story,29
left,talk,29
left,house,44
left,high,32
left,leave,32
left,white,19
left,amazing,16
left,record,34
left,lie,35
left,order,72
left,change,22
left,york,64
left,place,46
left,donald,30
left,obama,25
left,pay,35
left,history,95
left,governor,32
left,presidential,63
left,include,50
left,night,25
left,incredible,34
left,support,69
left,number,39
left,american,87
left,poll,38
left,help,38
left,total,88
left,start,31
left,justice,48
left,amendment,68
left,end,45
left,biden,186
left,administration,24
left,joe,167
left,china,15
left,complete,86
left,congressman,35
left,endorsement,70
left,protect,54
left,bill,30
left,cut,24
left,district,59
left,honor,23
left,beautiful,21
happen,new,109
happen,case,73
happen,love,45
happen,let,157
happen,try,54
happen,way,73
happen,american,54
happen,good,144
happen,look,95
happen,time,126
happen,china,57
happen,administration,55
happen,national,20
happen,obama,40
happen,security,39
happen,campaign,45
happen,stop,61
happen,debate,16
happen,poll,24
happen,presidential,47
happen,record,50
happen,watch,72
happen,bad,132
happen,great,258
happen,report,29
happen,president,224
happen,election,162
happen,far,42
happen,news,90
happen,state,107
happen,nation,34
happen,pay,35
happen,deal,59
happen,thank,72
happen,house,44
happen,white,24
happen,country,248
happen,big,148
happen,think,73
happen,work,84
happen,know,111
happen,day,88
happen,lose,46
happen,end,59
happen,amazing,15
happen,trump,193
happen,help,34
happen,order,62
happen,place,47
happen,job,64
happen,need,59
happen,fantastic,13
happen,leave,39
happen,live,18
happen,hard,38
happen,man,35
happen,story,27
happen,soon,34
happen,true,22
happen,year,130
happen,corrupt,42
happen,total,38
happen,want,141
happen,long,70
happen,strong,42
happen,allow,122
happen,right,81
happen,fight,50
happen,office,23
happen,business,25
happen,life,28
happen,vote,91
happen,complete,27
happen,change,27
happen,governor,30
happen,york,64
happen,start,55
happen,come,86
happen,bill,31
happen,america,149
happen,military,26
happen,real,27
happen,usa,51
happen,law,45
happen,believe,51
happen,beautiful,32
happen,donald,48
happen,include,52
happen,incredible,19
happen,night,21
happen,border,59
happen,support,16
happen,court,48
happen,money,38
happen,united,104
happen,talk,46
happen,lead,52
happen,crime,47
happen,states,106
happen,republican,63
happen,maga,41
happen,party,34
happen,book,14
happen,crooked,77
happen,hillary,30
happen,low,23
happen,number,45
happen,democrat,56
happen,lie,29
happen,protect,20
happen,wonderful,18
happen,judge,45
happen,radical,67
happen,illegal,36
happen,republicans,52
happen,energy,21
happen,fact,43
happen,high,29
happen,political,79
happen,cut,23
happen,democrats,104
happen,fake,84
happen,congress,29
happen,secure,13
happen,amendment,22
happen,justice,46
happen,second,16
happen,history,76
happen,family,31
happen,congressman,12
happen,joe,105
happen,russia,56
happen,economy,25
happen,honor,12
happen,interview,13
happen,district,12
happen,biden,135
happen,endorsement,12
case,night,12
case,trump,298
case,justice,102
case,support,16
case,believe,35
case,great,171
case,right,77
case,china,20
case,court,150
case,pay,62
case,fake,134
case,hard,30
case,come,56
case,election,224
case,party,25
case,big,90
case,interview,25
case,bad,89
case,time,135
case,obama,26
case,good,66
case,year,115
case,love,16
case,country,140
case,law,95
case,judge,255
case,donald,40
case,order,97
case,thank,40
case,look,67
case,campaign,84
case,total,52
case,long,82
case,start,47
case,stop,31
case,day,58
case,president,143
case,change,23
case,think,51
case,place,41
case,lose,44
case,news,70
case,help,27
case,strong,25
case,real,20
case,know,94
case,state,161
case,want,96
case,watch,35
case,nation,30
case,family,27
case,america,85
case,book,27
case,need,31
case,new,201
case,story,26
case,way,67
case,work,64
case,crooked,122
case,hillary,23
case,second,15
case,security,19
case,district,36
case,republicans,17
case,fact,86
case,illegal,44
case,lead,37
case,soon,17
case,high,34
case,deal,20
case,vote,31
case,job,46
case,russia,27
case,york,173
case,political,145
case,true,22
case,history,62
case,honor,13
case,democrats,66
case,office,57
case,national,18
case,democrat,74
case,money,56
case,man,26
case,republican,34
case,congress,16
case,corrupt,119
case,house,47
case,number,59
case,allow,88
case,crime,125
case,states,76
case,united,72
case,border,16
case,report,39
case,try,60
